index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
9902,3201034007A_174467,5,3,3,3,5.0,3,3,3,3,3,3,3,3,5,서울특별시 광진구
9918,32010570031_45957,4,3,3,2,4.0,4,3,3,3,3,3,3,3,3,서울특별시 광진구
21908,3702036073A_24748,5,5,4,4,5.0,4,4,4,4,3,4,3,4,5,서울특별시 광진구
9886,31370321091_161836,4,4,3,4,4.0,4,3,4,4,4,3,3,4,4,서울특별시 광진구
3853,23010540251_7385,3,4,3,3,3.0,4,3,3,4,4,3,4,3,4,서울특별시 광진구
3207,22020610811_34993,4,5,5,5,4.0,5,4,5,5,5,5,4,4,4,서울특별시 광진구
11513,3404012093A_20688,4,3,5,4,4.0,4,4,3,5,5,3,5,4,4,서울특별시 광진구
11780,3407033051A_165801,4,5,3,5,4.0,5,3,3,4,5,3,4,4,4,서울특별시 광진구
3178,2202054042A_202568,5,5,3,5,5.0,5,4,4,4,4,5,5,5,4,서울특별시 광진구
18454,32020610321_309109,3,4,4,4,3.0,4,3,4,4,4,3,3,3,3,서울특별시 광진구
11541,34040123901_49732,4,5,4,4,4.0,4,3,4,4,4,3,3,3,4,서울특별시 광진구
19128,35012570821_78843,4,4,3,4,4.0,4,4,4,4,4,3,4,4,4,서울특별시 광진구
14009,37040370171_340850,3,3,3,2,3.0,3,3,3,4,3,3,2,3,3,서울특별시 광진구
8346,31030601281_249442,5,3,5,5,5.0,4,3,5,5,5,3,3,4,5,서울특별시 광진구
19761,38090360021_138589,4,5,5,4,5.0,4,4,5,5,4,5,5,4,4,서울특별시 광진구
4440,2307053064A_153122,4,5,5,5,5.0,5,4,4,5,5,5,4,5,5,서울특별시 광진구
9130,31130573561_158609,5,5,3,5,5.0,4,5,4,5,5,5,4,4,4,서울특별시 광진구
20534,2503062010A_155373,4,4,4,3,4.0,4,3,4,4,4,3,3,3,4,서울특별시 광진구
9401,3119252082A_71203,4,4,4,4,4.0,4,4,4,4,4,4,4,4,4,서울특별시 광진구
9325,3118053038A_305574,4,5,3,5,4.0,5,4,5,5,4,3,5,4,4,서울특별시 광진구
21064,33350360021_48308,4,3,2,1,4.0,3,4,5,5,5,5,1,1,5,서울특별시 광진구
8988,3110354085A_331136,4,5,5,4,4.0,4,3,4,4,4,3,4,4,4,서울특별시 광진구
9066,31120561031_99427,5,5,3,5,5.0,5,3,3,5,5,5,5,3,5,서울특별시 동대문구
9094,31130124981_70867,4,5,5,4,4.0,4,5,4,4,5,4,4,5,4,서울특별시 동대문구
